"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2040-01-01 00:00:00",,,,189.5,168,205.4,191.5,168.2,200.4,181.5,167.6,202.4
"2041-01-01 00:00:00",,,,190.5,164.2,205.8,182,166.3,199.1,180.5,166.2,197
"2042-01-01 00:00:00",,,,189.5,167,202.8,185,166.6,202.7,179.5,164.3,198
"2043-01-01 00:00:00",,,,185,167.3,198.4,180.5,165.5,205.1,176.5,159.9,190.7
"2044-01-01 00:00:00",,,,191,175.9,201.8,180.5,161.1,200.4,180.5,151.9,195.9
"2045-01-01 00:00:00",,,,187,168,202.1,181.5,158.5,203.1,183.5,167.3,197.5
"2046-01-01 00:00:00",,,,187,166.5,197.4,186,165,199.7,180.5,162.3,191.7
"2047-01-01 00:00:00",,,,185.5,171.3,203.7,180.5,167.6,202.7,177.5,166,194
"2048-01-01 00:00:00",,,,187.5,168.3,198.7,185.5,163.1,209.4,170,159.3,191.4
"2049-01-01 00:00:00",,,,189.5,170.8,200,178.5,169.2,204.7,174,161.5,193.4
"2050-01-01 00:00:00",,,,185.5,171,205.2,182.5,166.3,203.8,176.5,159.6,190.8
"2051-01-01 00:00:00",,,,189,166.9,204.5,186.5,165,193.4,178,147.5,191
"2052-01-01 00:00:00",,,,189.5,162.7,204.1,182.5,169.3,193.4,178,153.3,190.7
"2053-01-01 00:00:00",,,,190,169.8,199.4,179.5,162.9,194.1,174,158.9,188.1
"2054-01-01 00:00:00",,,,182.5,166,196.7,181.5,164.7,199.1,173.5,159.6,193
"2055-01-01 00:00:00",,,,183,164.3,194.5,179,169.6,198.2,172.5,153,186.4
"2056-01-01 00:00:00",,,,181.5,162,199.4,183.5,160.6,200,173.5,147.3,191.5
"2057-01-01 00:00:00",,,,189,167.6,202.1,182.5,161.5,202.7,171,143.7,183.4
"2058-01-01 00:00:00",,,,184,162,202.7,177.5,161.9,195,165.5,148.3,179.1
"2059-01-01 00:00:00",,,,185.5,159.1,197.7,175.5,159.4,198.5,171,153.3,187
"2060-01-01 00:00:00",,,,180.5,165.3,201.8,178,160.2,195.1,166.5,147.2,188.1
"2061-01-01 00:00:00",,,,182.5,166,203.8,183,165.5,195.8,171,139.1,186.7
"2062-01-01 00:00:00",,,,184,167.2,200.7,177.5,155.3,196.5,173.5,160,186
"2063-01-01 00:00:00",,,,190.5,176.3,208.7,179.5,149.5,192,168,143.5,181.7
"2064-01-01 00:00:00",,,,186.5,167.6,204,178,157.2,194.7,166,147.5,182.7
"2065-01-01 00:00:00",,,,189,169,203.1,179,159.3,192.8,170.5,155.6,186.1
"2066-01-01 00:00:00",,,,185,163.3,201.9,180,156.3,188.7,171.5,147.6,184.4
"2067-01-01 00:00:00",,,,187,177,205.1,177.5,158.5,195.5,165.5,137.5,178.7
"2068-01-01 00:00:00",,,,186,165.2,206.7,179,157.9,198.7,158,142.5,180.7
"2069-01-01 00:00:00",,,,185.5,167.5,197.7,177.5,167.6,197.4,162,148,174.7
"2070-01-01 00:00:00",,,,189,159.5,207.7,174.5,159.6,191.4,164,135.1,177.4
"2071-01-01 00:00:00",,,,186,166.7,205.9,174.5,158.6,189,162.5,145.2,178.8
"2072-01-01 00:00:00",,,,196.5,174.3,205.4,172.5,154.6,194.5,158.5,139.9,180.1
"2073-01-01 00:00:00",,,,187,169.6,197,177.5,147.5,190.7,158.5,138.3,173.8
"2074-01-01 00:00:00",,,,190,166.3,203.7,177.5,154.9,190.4,160,137.6,175.8
"2075-01-01 00:00:00",,,,188.5,169.9,198.7,175.5,158.8,191.8,154.5,135.3,170.1
"2076-01-01 00:00:00",,,,183,164.4,198,179.5,162.2,195.7,158.5,136.5,177.4
"2077-01-01 00:00:00",,,,193.5,176.9,204.4,177.5,161.3,193,157.5,134.2,177.8
"2078-01-01 00:00:00",,,,191.5,170.3,203.4,181.5,149.1,193.4,154,130.2,165.4
"2079-01-01 00:00:00",,,,186.5,165.3,207.4,175,150.3,189.5,151.5,129.3,177.1
"2080-01-01 00:00:00",,,,189.5,173.6,200,179,153.2,195.1,156.5,142,172.7
"2081-01-01 00:00:00",,,,190,172.8,208.5,176,149.3,195.7,154,130.2,175.9
"2082-01-01 00:00:00",,,,188.5,170.9,198.4,177.5,152.9,188.4,144.5,131.3,177.7
"2083-01-01 00:00:00",,,,185.5,174.2,203.5,173.5,148.8,193,148,129.2,176.1
"2084-01-01 00:00:00",,,,186,167.3,201.1,175,146.1,195.1,157.5,134.6,171.7
"2085-01-01 00:00:00",,,,181,171.3,202.7,182.5,154.5,193,152.5,128.1,171.5
